tenant_id,first_name,last_name,property_id,unit_number,lease_start,lease_end,monthly_rent,security_deposit,move_in_date,satisfaction_score,at_risk
T0001,Ryan,Perez,P045,42,2023-08-17,2025-08-06,2020.0,4040.0,2023-08-17,4.4,False
T0002,Rebecca,Johnson,P021,42,2024-09-07,2025-03-06,1200.0,1800.0,2024-09-07,4.0,False
T0003,Anthony,Nguyen,P040,65,2023-03-28,2024-03-22,2340.0,4680.0,2023-03-28,3.5,False
T0004,Brenda,Baker,P035,14,2023-07-24,2024-07-18,4200.0,8400.0,2023-07-24,3.4,True
T0005,Helen,Brown,P036,5,2024-11-14,2025-11-09,11600.0,23200.0,2024-11-14,3.5,False
T0006,Kenneth,Thompson,P038,148,2022-10-30,2023-10-25,1760.0,2640.0,2022-10-30,3.6,False
T0007,Ryan,Mitchell,P029,188,2024-07-01,2026-06-21,1640.0,2460.0,2024-07-01,4.4,False
T0008,Jeffrey,Campbell,P007,92,2023-08-15,2024-08-09,2760.0,4140.0,2023-08-15,4.9,False
T0009,Samantha,Perez,P009,3,2022-06-26,2023-06-21,1260.0,1260.0,2022-06-26,3.8,False
T0010,Andrew,Clark,P021,6,2024-02-09,2024-08-07,3050.0,3050.0,2024-02-09,3.7,True
T0011,Nicholas,Williams,P002,91,2022-10-08,2023-10-03,2200.0,3300.0,2022-10-08,3.6,False
T0012,Sarah,Smith,P043,19,2023-09-15,2024-09-09,10300.0,10300.0,2023-09-15,3.8,False
T0013,Shirley,Lopez,P020,31,2024-08-25,2025-02-21,1540.0,2310.0,2024-08-25,4.8,False
T0014,William,Hill,P050,15,2023-05-17,2023-11-13,2990.0,5980.0,2023-05-17,3.4,False
T0015,Gary,Hall,P022,101,2024-09-11,2026-09-01,1760.0,1760.0,2024-09-11,3.4,False
T0016,Joshua,Robinson,P038,94,2022-02-05,2023-01-31,1790.0,3580.0,2022-02-05,2.9,False
T0017,Cynthia,Brown,P029,131,2022-12-01,2023-05-30,1250.0,1875.0,2022-12-01,3.7,False
T0018,Joseph,Hill,P042,35,2022-06-07,2024-05-27,2500.0,2500.0,2022-06-07,4.2,False
T0019,Edward,Miller,P029,171,2023-10-10,2024-10-04,2170.0,4340.0,2023-10-10,4.3,False
T0020,Nicholas,Clark,P022,66,2022-10-22,2023-04-20,2260.0,3390.0,2022-10-22,3.4,False
T0021,Anthony,Scott,P045,61,2022-11-30,2023-05-29,3020.0,6040.0,2022-11-30,3.9,False
T0022,Charles,Johnson,P026,3,2022-08-22,2023-08-17,2500.0,3750.0,2022-08-22,3.0,False
T0023,Jonathan,Carter,P025,55,2024-01-13,2025-01-07,1730.0,2595.0,2024-01-13,4.8,False
T0024,Charles,Hall,P007,82,2023-09-16,2024-03-14,1340.0,1340.0,2023-09-16,3.1,False
T0025,Jeffrey,Hall,P038,92,2023-09-22,2024-09-16,2500.0,2500.0,2023-09-22,5.0,False
T0026,Helen,Nguyen,P007,25,2024-09-18,2025-09-13,1120.0,1120.0,2024-09-18,1.9,True
T0027,Joseph,Davis,P047,13,2023-06-03,2023-11-30,2010.0,4020.0,2023-06-03,3.8,True
T0028,Christopher,Mitchell,P023,7,2023-02-14,2024-02-09,4100.0,6150.0,2023-02-14,2.9,False
T0029,Paul,Allen,P010,28,2023-12-14,2024-12-08,3080.0,6160.0,2023-12-14,3.9,False
T0030,Kenneth,Hernandez,P001,6,2022-01-29,2024-01-19,2700.0,5400.0,2022-01-29,3.2,False
T0031,Gary,White,P007,173,2022-07-22,2023-07-17,960.0,1920.0,2022-07-22,4.7,False
T0032,Ronald,Ramirez,P002,120,2024-06-19,2024-12-16,2280.0,2280.0,2024-06-19,3.6,False
T0033,Pamela,Davis,P007,69,2024-04-14,2024-10-11,2110.0,4220.0,2024-04-14,3.5,False
T0034,Laura,Young,P014,141,2024-01-10,2025-01-04,1260.0,1260.0,2024-01-10,2.9,False
T0035,Ryan,Anderson,P049,57,2024-07-24,2026-07-14,1820.0,3640.0,2024-07-24,4.3,False
T0036,Gary,Baker,P018,76,2024-05-26,2025-05-21,1870.0,2805.0,2024-05-26,4.8,False
T0037,Richard,Davis,P049,50,2024-10-03,2025-04-01,1350.0,1350.0,2024-10-03,3.9,False
T0038,Sharon,Gonzalez,P021,59,2022-07-28,2023-07-23,1840.0,3680.0,2022-07-28,4.9,True
T0039,Nicole,Moore,P028,51,2024-04-07,2024-10-04,2850.0,5700.0,2024-04-07,3.7,False
T0040,Angela,Young,P022,112,2023-07-14,2024-07-08,2670.0,5340.0,2023-07-14,4.3,False
T0041,Carol,Green,P032,87,2024-07-20,2025-01-16,1580.0,1580.0,2024-07-20,3.9,False
T0042,Matthew,Harris,P031,13,2022-04-19,2022-10-16,1020.0,2040.0,2022-04-19,2.9,False
T0043,Karen,Nelson,P021,80,2022-11-09,2023-11-04,2480.0,4960.0,2022-11-09,3.0,False
T0044,Eric,Taylor,P021,66,2024-08-12,2025-08-07,2680.0,5360.0,2024-08-12,3.2,True
T0045,Sandra,Harris,P043,11,2022-02-06,2022-08-05,5400.0,8100.0,2022-02-06,4.7,False
T0046,George,Rivera,P021,41,2024-02-10,2025-02-04,1660.0,1660.0,2024-02-10,2.9,False
T0047,Thomas,Torres,P049,33,2022-10-03,2023-09-28,2060.0,4120.0,2022-10-03,3.9,False
T0048,Lisa,Sanchez,P046,13,2024-08-20,2025-08-15,2050.0,3075.0,2024-08-20,2.0,True
